Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"bn-human-Jung2015_M87117515",64,5,3198551,0.03,0.038,0.515,2891064,96,0
"bn-human-Jung2015_M87117515",8,5,494153,0.03,0.023,1.124,2929548,96,0
"bn-human-Jung2015_M87117515",91,5,3990830,0.03,0.033,2.075,2898140,96,0
"bn-human-Jung2015_M87122310",1000,1,39048309,0.03,0.172,2.972,6361296,96,0
"bn-human-Jung2015_M87122310",128,1,12627516,0.03,0.037,1.38,5270252,96,0
"bn-human-Jung2015_M87122310",30000,1,83093285,0.03,3.804,46.373,24570668,96,0
"bn-human-Jung2015_M87122310",37,1,5071906,0.03,0.033,1.916,5223244,96,0
"bn-human-Jung2015_M87122310",64,1,7753148,0.03,0.034,1.31,5233576,96,0
"bn-human-Jung2015_M87122310",8,1,1318029,0.03,0.029,1.099,5316576,96,0
"bn-human-Jung2015_M87122310",91,1,10029176,0.03,0.036,1.353,5245720,96,0
"bn-human-Jung2015_M87122310",1000,2,39002990,0.03,0.138,4.102,6426772,96,0
"bn-human-Jung2015_M87122310",128,2,12477443,0.03,0.038,1.401,5288056,96,0
"bn-human-Jung2015_M87122310",30000,2,83095194,0.03,3.804,46.021,24566496,96,0
"bn-human-Jung2015_M87122310",37,2,5002528,0.03,0.035,2.198,5218740,96,0
"bn-human-Jung2015_M87122310",64,2,7664846,0.03,0.05,1.381,5227724,96,0
"bn-human-Jung2015_M87122310",8,2,1311013,0.03,0.012,1.143,5315420,96,0
"bn-human-Jung2015_M87122310",91,2,10184257,0.03,0.05,2.072,5239300,96,0
"bn-human-Jung2015_M87122310",1000,3,38887386,0.03,0.241,2.428,6365064,96,0
"bn-human-Jung2015_M87122310",128,3,12660503,0.03,0.04,2.23,5284144,96,0
"bn-human-Jung2015_M87122310",30000,3,83094091,0.03,3.804,45.664,23839520,96,0
"bn-human-Jung2015_M87122310",37,3,4904461,0.03,0.032,1.846,5218728,96,0
"bn-human-Jung2015_M87122310",64,3,7689359,0.03,0.033,1.307,5233328,96,0
