Graph,N,M,HierarchyLevels,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Mtot,K,Seed,Cut,Epsilon,Imbalance,Time,TimeCoarsening,TimeSparsification,TimeInitialPartitioning,TimeUncoarsening,TimeRefinement,TimeRemaining,Cores,Timeout,Failed
clustered_N18_K5_M26_ratio10,262144,134228814,7,26711632,18247792,11984692,8251626,6588962,6201754,6116686,6116686,6116686,6116686,218331958,16,4,55783691,0.030000,0.029968,1.411000,0.863000,0.001000,0.228000,0.007000,0.276000,0.036000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,10,84778780,31525376,11724492,4510182,1715982,576726,325592,254884,230878,222178,270093884,3,4,36290314,0.030000,0.029983,1.314000,0.907000,0.000000,0.015000,0.012000,0.348000,0.032000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,26710124,5294664,989474,988002,987954,987948,987946,987944,987944,987944,172162870,37,4,56434098,0.030000,0.029922,1.012000,0.563000,0.000000,0.084000,0.009000,0.319000,0.037000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,5,26726186,5350634,1061504,1059302,1059202,1059202,1059202,1059202,1059202,1059202,169485642,64,4,61369768,0.030000,0.029785,0.909000,0.526000,0.000000,0.094000,0.005000,0.246000,0.038000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,99020046,42606876,17356384,7179934,2882462,1526622,1255310,1200718,1200718,1200718,307257166,7,4,50608364,0.030000,0.029987,1.378000,0.827000,0.000000,0.042000,0.013000,0.452000,0.044000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,100596724,44502380,18494746,7646544,3255104,1916006,1624810,1581632,1581632,1581632,313846760,8,4,46957649,0.030000,0.029999,1.364000,0.827000,0.000000,0.054000,0.013000,0.433000,0.037000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,7,26709548,18060026,11972628,8245444,6560140,6193814,6094840,6094840,6094840,6094840,218065254,16,5,53548033,0.030000,0.029968,1.407000,0.869000,0.001000,0.220000,0.008000,0.274000,0.035000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,9,86346040,31864524,11877534,4455404,1690938,591968,304768,252234,242422,242422,271854646,3,5,39005718,0.030000,0.029983,1.272000,0.914000,0.000000,0.008000,0.011000,0.305000,0.034000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,26717778,5301892,991592,990112,990052,990036,990034,990030,990030,990030,172190340,37,5,57374203,0.030000,0.029922,1.029000,0.537000,0.000000,0.085000,0.007000,0.352000,0.048000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,5,26716480,5346460,1057864,1055878,1055752,1055752,1055752,1055752,1055752,1055752,169461248,64,5,61216160,0.030000,0.029785,0.892000,0.500000,0.000000,0.096000,0.005000,0.251000,0.040000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,99593768,43218534,17520366,7299848,2965684,1528446,1248630,1187334,1187334,1187334,308791424,7,5,50511538,0.030000,0.029987,1.364000,0.826000,0.000000,0.034000,0.011000,0.457000,0.036000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,101610992,44733554,18522390,7751436,3227318,1910890,1653480,1576998,1576998,1576998,315215872,8,5,45830044,0.030000,0.007294,1.311000,0.854000,0.000000,0.053000,0.014000,0.353000,0.037000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,11,26763112,5305990,1036924,197962,44724,44056,43972,43930,43924,43902,167824158,16,1,59547119,0.030000,0.029999,1.149000,0.578000,0.004000,0.013000,0.009000,0.481000,0.064000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,13,26770194,5303486,1036390,196808,147672,124580,120672,119034,118718,118718,168624186,3,1,40665699,0.030000,0.029995,1.066000,0.579000,0.004000,0.010000,0.009000,0.402000,0.062000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,10,26778832,5315566,1041178,200790,192058,191002,190816,190738,190678,190654,168694078,37,1,61516772,0.030000,0.027876,1.273000,0.578000,0.004000,0.034000,0.009000,0.580000,0.068000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,9,26770130,5308936,1039798,225658,219564,218914,218754,218638,218564,218564,168650722,64,1,62784627,0.030000,0.000366,1.246000,0.588000,0.004000,0.049000,0.010000,0.532000,0.063000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26771012,5308492,1036800,197542,39846,38768,38666,38640,38624,38616,167835998,7,1,53381125,0.030000,0.029994,1.114000,0.580000,0.004000,0.009000,0.010000,0.463000,0.048000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26769914,5308836,1037358,196918,40272,39324,39230,39204,39194,39180,167839540,8,1,54698027,0.030000,0.029999,1.043000,0.580000,0.004000,0.009000,0.009000,0.380000,0.061000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,11,26773368,5308542,1039540,197934,44798,44206,44136,44098,44074,44064,167840576,16,2,59561346,0.030000,0.029999,1.132000,0.578000,0.004000,0.013000,0.010000,0.463000,0.064000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,13,26768906,5305576,1035970,198716,149852,126212,121086,120062,120052,120052,168638406,3,2,40657587,0.030000,0.029995,1.054000,0.581000,0.004000,0.008000,0.009000,0.384000,0.068000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,10,26772616,5311708,1041302,200302,191450,190436,190252,190170,190122,190090,168680214,37,2,61518073,0.030000,0.027911,1.260000,0.578000,0.004000,0.039000,0.009000,0.565000,0.065000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,9,26774418,5312552,1042428,226144,219916,219318,219158,219060,219004,219004,168663764,64,2,62784088,0.030000,0.000244,1.174000,0.588000,0.004000,0.041000,0.009000,0.466000,0.066000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26772132,5303300,1037646,197438,40314,39246,39118,39102,39096,39086,167836402,7,2,53385852,0.030000,0.029994,1.117000,0.582000,0.004000,0.008000,0.009000,0.451000,0.063000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26768184,5315814,1038794,197448,40354,39322,39230,39208,39194,39194,167846886,8,2,54665195,0.030000,0.029999,1.127000,0.582000,0.004000,0.008000,0.010000,0.463000,0.060000,32,0,0
